"iteration","reward","epsilon"
1,9.0,0.09958085567010888
2,33.0,0.09576024182594593
3,130.0,0.08042757716530932
4,462.0,0.050239867433085686
5,145.0,0.034753030280127196
6,523.0,0.02689798555264354
7,346.0,0.021298515855972543
8,77.0,0.015201850419164189
9,206.0,0.011318510236101259
10,67.0,0.01
11,180.0,0.01
12,233.0,0.01
13,115.0,0.01
14,215.0,0.01
15,291.0,0.01
16,271.0,0.01
17,214.0,0.01
18,146.0,0.01
19,118.0,0.01
20,126.0,0.01
21,238.0,0.01
22,133.0,0.01
23,181.0,0.01
24,291.0,0.01
25,318.0,0.01
