score;Epsilon
-117.22693341230308;0.001
-121.20750391732093;0.001
-118.40722861369514;0.001
-107.41175378068102;0.001
-153.5078721397055;0.001
-147.70564341128375;0.001
-113.5173105614508;0.001
-117.70417198003264;0.001
-108.01997135189671;0.001
-110.76793775784658;0.001
-117.28650328311012;0.001
-130.01385885687606;0.001
-121.92951810570185;0.001
-122.32702932747019;0.001
-118.72265753287884;0.001
-120.7393924455934;0.001
-117.27882229161386;0.001
-121.04245094788448;0.001
-116.72586402771437;0.001
-115.5779729467365;0.001
-114.01552224778754;0.001
-117.44092797096445;0.001
-115.60787151241674;0.001
-114.95583585934402;0.001
-116.54422972249364;0.001
-118.09749693461632;0.001
-118.0296860193399;0.001
-117.22855351073977;0.001
-111.40168305411933;0.001
-120.25462925867302;0.001
-119.17848421316779;0.001
-102.46010708868194;0.001
-98.6390354109332;0.001
-115.56107208245184;0.001
-112.0700412971545;0.001
-127.55889804490344;0.001
-127.70250897912804;0.001
-99.07041540260862;0.001
-98.96186170015608;0.001
-99.07325104025503;0.001
-100.44799426386506;0.001
-98.86297925588241;0.001
-99.38403003227153;0.001
-99.97317515056828;0.001
-98.85569031697202;0.001
-99.55013076347797;0.001
-100.0678502408707;0.001
-102.72879271453743;0.001
-100.95379825601789;0.001
-133.5360598956874;0.001
-99.55991288599247;0.001
-104.7855938821168;0.001
-105.11105519942008;0.001
-105.78244058447083;0.001
-101.43524551794182;0.001
-108.06222395666627;0.001
-148.6041357487502;0.001
-105.38109830565813;0.001
-119.78998550659976;0.001
-106.36986606915978;0.001
-130.7471929826302;0.001
-105.34572560646384;0.001
-106.81456321774543;0.001
-107.09885565052367;0.001
-115.23429007922735;0.001
-112.64170020470458;0.001
-118.14377962837058;0.001
-99.99983715101578;0.001
-103.37466324738847;0.001
-107.1447968427135;0.001
-102.02208362182417;0.001
-101.76448145585073;0.001
-102.83080784900922;0.001
-106.75846791349227;0.001
-102.83979119445509;0.001
-107.1494151391865;0.001
-114.62986165692035;0.001
-111.41927099933476;0.001
-88.47486420914062;0.001
-136.11750675740586;0.001
-108.01063420082443;0.001
-158.6517787995079;0.001
-111.88117729596358;0.001
-116.27812617015404;0.001
-117.88230617624211;0.001
-121.93701452427604;0.001
-115.34973003701988;0.001
-111.30998074966358;0.001
-117.13024918960903;0.001
-112.78982389998124;0.001
-115.27710128073826;0.001
-110.10005877765761;0.001
-114.03034285356414;0.001
-106.7296532120866;0.001
-117.32877820651605;0.001
-115.01384153449222;0.001
-112.62251318337954;0.001
-110.88526873449608;0.001
-112.14185840560992;0.001
-114.21022305984732;0.001
-111.33005396921683;0.001
-113.04043274992331;0.001
-115.09401106443937;0.001
-116.50272396337239;0.001
-111.98210940616453;0.001
-117.27498280537189;0.001
-168.8500052751756;0.001
-113.82677870393607;0.001
-109.82803051641149;0.001
-115.52409317390061;0.001
-114.64312230688209;0.001
-118.5753046358979;0.001
-118.5074537574003;0.001
